scheme_name,fund_house,return_3yr_pct,sharpe_ratio,alpha,beta,fund_score
SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,23.14,0.93,1.13,1.04,11.899999999999999
Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,15.65,0.98,1.85,0.95,12.4
Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,18.23,0.96,1.91,1.0,12.799999999999999
ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,22.38,0.9,1.84,0.97,13.700000000000001
SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,23.39,0.94,1.23,0.89,15.250000000000002
Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,14.81,1.06,1.62,0.96,15.424999999999999
HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,7.37,1.84,1.98,0.44,15.799999999999999
ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.68,7.68,1.85,0.26,16.3
ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,18.08,0.95,0.89,1.0,16.6
ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,14.41,1.03,0.88,1.03,17.15
Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.56,0.91,1.7,0.99,17.599999999999998
HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,13.38,0.96,1.13,0.97,17.650000000000002
Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.18,6.18,1.52,0.47,18.45
UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,15.34,0.96,1.79,1.0,18.575000000000003
Nippon India ETF Nifty 50 BeES,Nippon India MF,11.77,0.91,1.8,1.04,19.375
Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,12.33,0.88,1.7,1.02,19.849999999999998
Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,15.18,0.8,1.42,1.0,20.175
DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,17.16,0.9,1.02,0.98,20.224999999999998
DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,12.82,0.92,1.82,0.91,20.474999999999998
SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,6.07,1.52,1.6,0.22,20.5
ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,14.76,0.98,0.55,0.92,20.55
HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,14.84,1.06,0.78,0.97,20.875
HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,16.58,0.87,0.95,0.91,21.1
HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,15.29,0.8,0.9,1.04,21.325
ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,13.78,0.98,1.34,1.03,21.574999999999996
Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,14.0,1.0,0.86,0.88,21.875000000000004
Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,20.15,0.81,0.8,1.03,21.95
ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,5.14,5.14,1.18,0.43,22.299999999999997
Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,12.14,0.87,1.43,0.87,22.65
SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,11.3,0.81,1.78,0.87,22.675
Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,20.98,0.84,0.51,1.0,22.75
Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,5.31,1.33,0.89,0.37,23.25
UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,15.61,0.82,1.12,0.92,23.65
DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,20.08,0.8,0.69,0.98,25.3
UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,12.1,0.93,0.93,0.9,25.675
Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,11.84,0.85,1.41,0.91,26.974999999999998
Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,12.25,0.87,1.27,0.93,27.0
SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,12.36,0.88,0.87,0.89,27.35
ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,11.54,0.82,0.66,0.96,29.674999999999997
Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,13.58,0.8,0.54,0.98,31.299999999999997
